ダウンロード実行日,2010年07月28日現在,件数,10985件
ＥＤＩＮＥＴコード,提出者名,所在地
E00003,曽我の屋農興株式会社,神奈川県平塚市南金目９２５
E00004,カネコ種苗株式会社,群馬県前橋市古市町一丁目５０番地１２
E00005,株式会社フリーデン,神奈川県平塚市南金目２２７番地
E00006,株式会社　サカタのタネ,神奈川県横浜市都筑区仲町台２－７－１
E00007,株式会社雪国まいたけ,新潟県南魚沼郡六日町大字余川８９
E00008,ホクト株式会社,長野県長野市南堀１３８番地１
E00009,株式会社アクシーズ,鹿児島県鹿児島市草牟田二丁目１番８号
E00010,株式会社ホーブ,北海道上川郡東神楽町１４号北１番地
E00011,住友林業株式会社,東京都千代田区大手町一丁目３番２号
E00012,株式会社　極洋,東京都港区赤坂三丁目３番５号
E00013,株式会社マルハニチロ食品,東京都千代田区大手町一丁目１番２号
E00014,日本水産株式会社,東京都千代田区大手町二丁目６番２号
E00015,株式会社マルハニチロ水産,東京都千代田区大手町一丁目１番２号
E00017,株式会社ホウスイ,東京都中央区築地五丁目２番１号
E00018,株式会社トクスイコーポレーション,福岡県福岡市中央区港２丁目２番２１号
E00020,株式会社マルハニチロホールディングス,東京都千代田区大手町一丁目１番２号
E00021,三菱マテリアル株式会社,東京都千代田区大手町一丁目３番２号
E00023,住友金属鉱山株式会社,東京都港区新橋５丁目１１番３号
E00024,三井金属鉱業株式会社,東京都品川区大崎一丁目１１番１号
E00026,日本精鉱株式会社,東京都新宿区下宮比町３－２
E00027,中外鉱業株式会社,東京都千代田区丸の内２丁目４番１号
E00028,ＤＯＷＡホールディングス株式会社,東京都千代田区外神田四丁目１４番１号
E00029,株式会社ジパング,東京都品川区北品川三丁目６番９号
E00030,日本コークス工業株式会社,東京都江東区豊洲三丁目３番３号
E00031,住石マテリアルズ株式会社,東京都港区新橋６－１６－１２
E00032,古河機械金属株式会社,東京都千代田区丸の内二丁目２番３号
E00033,常磐興産株式会社,福島県いわき市常磐藤原町蕨平５０番地
E00034,太平洋興発株式会社,東京都中央区明石町８番１号
E00035,株式会社ニッチツ,東京都港区赤坂一丁目１１番３０号
E00036,日鉄鉱業株式会社,東京都千代田区丸の内二丁目３番２号
E00037,三井松島産業株式会社,福岡県福岡市中央区大手門一丁目１番１２号
E00038,帝国石油株式会社,東京都渋谷区幡ヶ谷一丁目３１番１０号
E00040,関東天然瓦斯開発株式会社,東京都中央区日本橋室町二丁目１番１号
E00041,石油資源開発株式会社,東京都千代田区丸の内一丁目７番１２号
E00042,国際石油開発株式会社,東京都渋谷区恵比寿四丁目１番１８号
E00043,国際石油開発帝石株式会社,東京都港区赤坂五丁目３番１号
E00044,奥多摩工業株式会社,東京都立川市曙町１丁目１８番２号
E00045,大室温泉株式会社,静岡県伊東市富戸字先原１３１７番４５６２
E00046,昭和ＫＤＥ株式会社,東京都豊島区西池袋５丁目１７番１４号
E00048,大和ハウス工業株式会社,大阪府大阪市北区梅田三丁目３番５号
E00049,株式会社ＮＩＰＰＯ,東京都中央区京橋一丁目１９番１１号
E00050,日本コムシス株式会社,東京都品川区東五反田二丁目１７番１号
E00051,前田建設工業株式会社,東京都千代田区富士見二丁目１０番２６号
E00052,大成建設株式会社,東京都新宿区西新宿一丁目２５番１号
E00053,清水建設株式会社,東京都港区芝浦一丁目２番３号
E00055,株式会社大林組,大阪府大阪市中央区北浜東４番３３号
E00056,株式会社　熊谷組,福井県福井市中央２丁目６番８号
E00058,鹿島建設株式会社,東京都港区元赤坂一丁目３番１号
E00059,日本国土開発株式会社,東京都港区赤坂四丁目９番９号
E00060,西松建設株式会社,東京都港区虎ノ門一丁目２０番１０号
E00061,前田道路株式会社,東京都品川区大崎１丁目１１番３号
E00062,株式会社エー・シー・リアルエステート,東京都渋谷区千駄ヶ谷五丁目２３番１５号
E00063,飛島建設株式会社,東京都千代田区三番町２番地
E00064,松井建設株式会社,東京都中央区新川一丁目１７番２２号
E00065,鉄建建設株式会社,東京都千代田区三崎町二丁目５番３号
E00066,東亜道路工業株式会社,東京都港区六本木七丁目３番７号
E00067,日本道路株式会社,東京都港区新橋一丁目６番５号
E00068,株式会社神崎組,兵庫県姫路市北条口三丁目２２番地
E00069,株式会社錢高組,大阪府大阪市西区西本町２丁目２番１１号
E00070,太平工業株式会社,東京都千代田区丸の内二丁目５番２号
E00071,青山管財株式会社,東京都港区北青山二丁目５番８号
E00073,株式会社中電工,広島県広島市中区小網町６番１２号
E00074,株式会社関電工,東京都港区芝浦４丁目８番３３号
E00075,株式会社きんでん,大阪府大阪市北区本庄東二丁目３番４１号
E00076,株式会社トーエネック,愛知県名古屋市中区栄１丁目２０番３１号
E00077,大明株式会社,東京都品川区西五反田二丁目１１番２０号
E00078,日本工営株式会社,東京都千代田区麹町５丁目４番地
E00079,徳倉建設株式会社,愛知県名古屋市中区錦三丁目１３番５号
E00080,東亜建設工業株式会社,東京都新宿区西新宿三丁目７番１号
E00081,若築建設株式会社,福岡県北九州市若松区浜町１－４－７
E00082,東洋建設株式会社,大阪府大阪市中央区高麗橋４丁目１番１号
E00083,株式会社奥村組,大阪府大阪市阿倍野区松崎町二丁目２番２号
E00085,三井住友建設株式会社,東京都中央区佃二丁目１番６号
E00086,五洋建設株式会社,東京都文京区後楽二丁目２番８号
E00088,安藤建設株式会社,東京都港区芝浦三丁目１２番８号
E00089,あおみ建設株式会社,東京都港区海岸三丁目１８番２１号
E00090,株式会社　長谷工コーポレーション,東京都港区芝二丁目３２番１号
E00091,中央ビルト工業株式会社,東京都中央区日本橋富沢町１１番１２号
E00092,株式会社東京エネシス,東京都港区新橋六丁目９番７号
E00093,大末建設株式会社,大阪府大阪市中央区久太郎町二丁目５番２８号
E00094,株式会社協和エクシオ,東京都渋谷区渋谷三丁目２９番２０号
E00095,大豊建設株式会社,東京都中央区新川一丁目２４番４号
E00096,真柄建設株式会社,石川県金沢市彦三町１丁目１３番４３号
E00097,株式会社不動テトラ,大阪府大阪市中央区淡路町二丁目２番１４号
E00098,ライト工業株式会社,東京都千代田区九段北４丁目２番３５号
E00099,鈴縫工業株式会社,茨城県日立市城南町１丁目１１番３１号
E00100,ＴＣプロパティーズ株式会社,東京都渋谷区渋谷一丁目１６番１４号
E00101,サンユー建設株式会社,東京都大田区南雪谷２丁目１７番８号
E00105,株式会社ナカノフドー建設,東京都千代田区九段北４丁目２番２８号
E00106,株式会社東電通,東京都港区東新橋２－３－３
E00107,三機工業株式会社,東京都中央区日本橋室町二丁目１番１号
E00109,三晃金属工業株式会社,東京都港区芝浦４丁目１３番２３号
